rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
54,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Parazene,1 Parazene,1844,Tazarene,Taђarene. xx.,R. Talbert: * 11C3 ,2784,II1 Parazene,Parazene,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1930,TRUE,60621, 11C3,Tazarene,Tazarene,Paradene,https://tp-online.ku.de/trefferanzeige_en.php?id=1930,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2784.html,https://pleiades.stoa.org/places/60621,0,0,0.578375008,-0.026134174,2.1,India Dimirica Evilat,Castorius (Roman),-
55,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Aradarum,1 Aradarum,276,Aradarum,Araꝺarum. xx.,R. Talbert: Aradarvm 11C3 ,2783,II1 Aradarum,Aradarum,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1929,TRUE,30207, 11C3,Aradarum,Aradarvm,Aradarum/Hardea/Ardea,https://tp-online.ku.de/trefferanzeige_en.php?id=1929,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2783.html,https://pleiades.stoa.org/places/30207,27.5,57.5,0.576502361,-0.026210684,2.1,India Dimirica Evilat,Castorius (Roman),-
56,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Alexandrium,1 Alexandrium,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
57,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Hora,1 Hora,1398,Ora,oʀa. xv.,R. Talbert: * 11B3 ,2766,II1 Hora,Hora,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1911,TRUE,59954, 11B3,Ora,ora,Ora,https://tp-online.ku.de/trefferanzeige_en.php?id=1911,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2766.html,https://pleiades.stoa.org/places/59954,34.770568,72.315461,0.577839702,-0.020707701,2.1,India Dimirica Evilat,Castorius (Roman),-
58,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Alexandria Bucephalos,1 Alexandria Bucephalos,174,Alexandria Bucefalos,Alexandrıa. Bucefalos.,R. Talbert: Alexandria Bvcefalos 11B3 ,2763,II1 Alexandria Bucephalos,Alexandria Bucephalos,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1908,TRUE,59750, 11B3,Alexandria Bucefalos,Alexandria Bvcefalos,Boukephala,https://tp-online.ku.de/trefferanzeige_en.php?id=1908,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2763.html,https://pleiades.stoa.org/places/59750,32.68886476,73.44737579,0.575703776,-0.01821444,2.1,India Dimirica Evilat,Castorius (Roman),-
59,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Albi Alexandri,1 Albi Alexandri,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
60,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Caumatis,1 Caumatis,564,Caumatis,Caumaтıs. x,R. Talbert: Cavmatis 11C3 ,2782,II1 Caumatis,Caumatis,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1928,TRUE,30221, 11C3,Caumatis,Cavmatis,Caumatis/Kanate/Kanthatis,https://tp-online.ku.de/trefferanzeige_en.php?id=1928,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2782.html,https://pleiades.stoa.org/places/30221,26.59460468,63.75739217,0.575221045,-0.026326491,2.1,India Dimirica Evilat,Castorius (Roman),-
61,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Fasca,1 Fasca,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
62,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,43,16,Pasate,1 Pasate,1498,Pisauta,Pıſauтa. ,R. Talbert: Pisavta 11C5 ,2795,II1 Pasate,Pasate,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1942,TRUE,49929, 11C5,Pisauta,Pisavta,Byzantion?,https://tp-online.ku.de/trefferanzeige_en.php?id=1942,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2795.html,https://pleiades.stoa.org/places/49929,16.503036,73.339812,0.596900855,-0.026355999,2.1,India Dimirica Evilat,Castorius (Roman),-
63,2,Asia,India Themantica & Elatis,India Themantica & Elatis,2a,2a,2,44,16,Mouvastica,2 Mouvastica,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.2,India Themantica & Elatis,Castorius (Roman),-
64,2,Asia,India Themantica & Elatis,India Themantica & Elatis,2a,2a,2,44,16,Cameza,2 Cameza,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.2,India Themantica & Elatis,Castorius (Roman),-
65,2,Asia,India Themantica & Elatis,India Themantica & Elatis,2a,2a,2,44,16,Pictis,2 Pictis,1571,Pyctis,Pẏctıs. xxvıı.,R. Talbert: * 11B2 ,2751,II2 Pictis,Pictis,"<a href=""sources.html?pars=2&amp;typ=rc#c2""",2,c2,2,1895,TRUE,/, 11B2,Pyctis,Pyctis,,https://tp-online.ku.de/trefferanzeige_en.php?id=1895,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2751.html,,0,0,0.570510798,-0.017470783,2.2,India Themantica & Elatis,Castorius (Roman),-
66,2,Asia,India Themantica & Elatis,India Themantica & Elatis,2a,2a,2,44,16,Stalec,2 Stalec,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.2,India Themantica & Elatis,Castorius (Roman),-
