stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
2,452337,Hipponion/Vibo Valentia,6B2,1402,439,Vibona Balentia,Vibona Balentia,yes,,Vibona Balentia,6,331,85,,Vivona Valentia,Bibona Balentia,,Bibona Valentia,Bibona Valentia,38.675581,16.097648,0.287328929,-0.019259159
2,452465,Tanno Fl.,6B2,1487,531,Tanno Flumen,Tanno Fl.,,,Tanno fl.,7,331,85,,Tenna,Tanum,,Tenno,Tanum,38.89591,16.28351,0.285488098,-0.019383437
2,452469,Temesa/Tempsa,6B1,1486,,,,,,Temsa,8,331,85,,Tempsa,Tempsa,,Tempsa,Temsa,39.036454,16.159633,,
2,452304,Clampetia,6B1,1485,529,Clampeia,Clampeia,yes,,Clampeia,9,332,85,,Clampetia,Clampetia,,Clampetia,Clampetia,39.134225,16.075485,0.282963104,-0.019073905
2,,,,,0,,,,,,10,332,85,,Erculis,,,Herculis,,0,0,,
2,452296,Cerilli,6B1,1484,528,Cerelis,Cerelis,,,Cerelis,11,332,85,,Cerellis,Cerellis,,Cerellis,Cerellis,39.715625,15.810335,0.281222139,-0.018992808
2,452361,Laos/Lavinium?,6B1,1483,527,Lauinium (Lavinium),Lavinivm,,,Lavinivm,12,332,85,,Lavimunium,Laminium,,Laminium,Laminium,39.76670042,15.82982957,0.280065323,-0.01887824
2,452274,Blanda,6B1,1482,526,Blanda,Blanda,,,Blanda,13,332,85,,Blandas,Blandas,,Blandas,Blandas,39.929308,15.778558,0.278568748,-0.01875694
2,452297,Cesernia,6B1,1481,525,Ceserina,Cesernia,,,Cesernia,14,332,85,,Cersenia,Cessernia,,Cesernia,Cessernia,40.00232,15.695781,0.277009187,-0.018534279
2,452452,Skidros,,,0,,,,,,15,332,85,,Veneris,,,Veneris,,40.076278,15.63048,,
2,452411,Pyxous/Buxentum,,,0,,,,,,16,332,85,,Boxonia,Buxentum,,Buxonia,Buxentum,40.0765477,15.5246477,,
2,452488,Velia/Elea,,,0,,,,,,17,332,85,,Bellias,Bellias,,Bellia,Bellias,40.16050074,15.15615685,,
2,,,,,0,,,,,,18,332,85,,Erculam,,,Herculia,,0,0,,
2,442733,Poseidonia/Paestum,5B5,1480,524,Pestum (Paestum),Pestv̄,,,Pestv̄,19,332,85,,Pestum,Pestum,,Pestum quae est destructa nunc,Pestum,40.42084834,15.0050786,0.273999063,-0.020361561
2,442446,Ad Silarum,,,0,,,,,,20,332,85,,Salarium,Silarum,,Silarium,Silarum,40.549696,15.051421,,
2,433075,Salernum,5B5,1364,398,Salerno,Salerno,yes,,Salerno,21,332,85,,Salernum,Surentum,,Salernum,Salernum,40.677988,14.765922,0.271987832,-0.021204529
2,432985,Nuceria (Alfaterna),5B5,1464,506,Nuceria,Nvceria,yes,,Nvceria,22,332,85,,Nuceria,,,Nuceria,,40.743128,14.673929,0.269354873,-0.021162786
2,432670,Amalfitana Civitas,,,0,,,,,,23,332,85,,[GG: Amalfi],,,Amalfi,Amalfi,40.634361,14.60257,,
2,432937,"Minerva, T.",5C5,1479,522,Templum Mineruae (Templum Minervae),Templ(vm) Minerv(a)e,yes (temple),TP on spur,Templ(vm) Minerv(a)e,24,332,85,,Minerba [switched],,,Minerva,,40.569248,14.324791,0.269097024,-0.023332824
2,433139,Surrentum,5C5,1478,521,Surrento,Svrrento,,TP on spur,Svrrento,25,332,85,,Syrrentum,,,Siratum vel Sirrentum,Surrentum,40.625464,14.370775,0.267590216,-0.023562246
2,433128,Stabiae,5C5,1477,520,Stabios,Stabios,,,Stabios,26,332,85,,Stabios,Stabium,,Stabium,Stabi,40.70296998,14.49892272,0.267272408,-0.022298661
2,433102,Sarnus (fl.),,,0,,,,,,27,333,85,,Sarnum,Sarnum,,Sarnum,Sarnum,40.73364,14.48813,,
2,433032,Pompeii,5B5,1476,519,Pompeis,Pompeis,yes,,Pompeis,28,333,85,,Pompeis,Pompei,,Pompei,Pompei,40.74941,14.485429,0.267122251,-0.021286104
2,432992,Oplontis,5B5,1475,518,Oplontis,Oplont[.]s,yes (large),,Oplont[.]s,29,333,85,,Opolontis,Eplontis,,Oplontis,Eplontis,40.75739084,14.45272912,0.26459682,-0.02190741
2,432873,Herculaneum,5B4,1474,517,Herclanium,Herclanivm,,,Herclanivm,30,333,85,,Merclanium,Merclanium,,Merclanium,Merdanium,40.80540539,14.3473828,0.260302685,-0.021516161
2,433014,Parthenope/Neapolis,5B4,1466,508,Neapoli,Neapoli,,,Neapoli,31,333,85,,Neapolis,Neapolis,,Parthenopis quae et Neapolis,Neapolis,40.839995,14.25287,0.257569782,-0.021331335
2,#N/A,#N/A,5B4,3564,2774,[Cripta Neapolitana] (Miller),"(symbol, no name, no. 43)",symbol,TP on spur,[symbol],32,333,85,,Cripta,,,Cripta,,#N/A,,0.255768036,-0.021522849
2,432815,Dikaiarcheia/Puteoli,5B4,1473,516,Puteolis,Pvteolis,yes,,Pvteolis,33,333,85,,Puteolis,Puteoli,,Puteolis,Puteolis,40.825838,14.1217415,0.254095562,-0.020797146
2,432885,Invinias,5B3,1471,514,Inuinias (Invinias),Invinias,yes,,Invinias,34,333,85,,In viniis,In viniis,,In viniis,In viniis,40.829882,14.105023,0.252157222,-0.021069258
2,432808,Cumae,5C3,1470,513,Cumas,Cvmas,,,Cvmas,35,333,85,,Cumas,,,Cumas,Cume [reversed],40.84794965,14.0563813,0.24997266,-0.02229417
2,432716,Baiae,,,,,,lake symbols?,,,36,333,85,,Baias,Miseum,,Baie,Baie,40.81736069,14.0702734,,
